Quote,Author
"When you forgive, you in no way change the past - but you sure do change the future.",Bernard Meltzer
"I think of dieting, then I eat pizza.",Lara Stone
"Until you have a son of your own... you will never know the joy, the love beyond feeling that resonates in the heart of a father as he looks upon his son.",Kent Nerburn
A dream you dream alone is only a dream. A dream you dream together is reality.,Yoko Ono
"Good buildings come from good people, and all problems are solved by good design.",Stephen Gardiner
"Don't let fear or insecurity stop you from trying new things. Believe in yourself. Do what you love. And most importantly, be kind to others, even if you don't like them.",Stacy London
"To enjoy the glow of good health, you must exercise.",Gene Tunney
Beware of little expenses. A small leak will sink a great ship.,Benjamin Franklin
"There is only one happiness in this life, to love and be loved.",George Sand
Education is the most powerful weapon which you can use to change the world.,Nelson Mandela
"Health is the greatest gift, contentment the greatest wealth, faithfulness the best relationship.",Buddha
,
All real education is the architecture of the soul.,William Bennett
"Acting is not about being famous, it's about exploring the human soul.",Annette Bening
"I have a dream that my four little children will one day live in a nation where they will not be judged by the color of their skin, but by the content of their character.","Martin Luther King, Jr."
"Some days are just bad days, that's all. You have to experience sadness to know happiness, and I remind myself that not every day is going to be a good day, that's just the way it is!",Dita Von Teese
"Saving our planet, lifting people out of poverty, advancing economic growth... these are one and the same fight. We must connect the dots between climate change, water scarcity, energy shortages, global health, food security and women's empowerment. Solutions to one problem must be solutions for all.",Ban Ki-moon
There are two great days in a person's life - the day we are born and the day we discover why.,William Barclay
The secret to happiness is freedom... And the secret to freedom is courage.,Thucydides
A garden requires patient labor and attention. Plants do not grow merely to satisfy ambitions or to fulfill good intentions. They thrive because someone expended effort on them.,Liberty Hyde Bailey
"Education is the passport to the future, for tomorrow belongs to those who prepare for it today.",Malcolm X
"For beautiful eyes, look for the good in others; for beautiful lips, speak only words of kindness; and for poise, walk with the knowledge that you are never alone.",Audrey Hepburn
God gave us the gift of life; it is up to us to give ourselves the gift of living well.,Voltaire
I don't make jokes. I just watch the government and report the facts.,Will Rogers
Sometimes by losing a battle you find a new way to win the war.,Donald Trump
"Cooking is all about people. Food is maybe the only universal thing that really has the power to bring everyone together. No matter what culture, everywhere around the world, people get together to eat.",Guy Fieri
Family is not an important thing. It's everything.,Michael J. Fox
Faith is taking the first step even when you don't see the whole staircase.,"Martin Luther King, Jr."
God loves each of us as if there were only one of us.,Saint Augustine
The heart of a mother is a deep abyss at the bottom of which you will always find forgiveness.,Honore de Balzac
Pasta doesn't make you fat. How much pasta you eat makes you fat.,Giada De Laurentiis
One father is more than a hundred schoolmasters.,George Herbert
"Stay focused, go after your dreams and keep moving toward your goals.",LL Cool J
"Everything we do is designed, whether we're producing a magazine, a website, or a bridge. Design is really the creative invention that designs everything.",Henry Petroski
"I don't fear death so much as I fear its prologues: loneliness, decrepitude, pain, debilitation, depression, senility. After a few years of those, I imagine death presents like a holiday at the beach.",Mary Roach
